order_index,order_date,product_index,customer_index,order_units
1,10/12/2015,2,38,1
2,13/11/2015,22,27,15
3,17/03/2015,4,47,1
4,08/02/2015,15,17,2
5,19/05/2015,19,47,12
6,01/12/2015,17,2,14
7,23/11/2015,25,39,3
8,10/09/2015,20,36,8
9,28/01/2015,17,33,2
10,08/05/2015,2,9,13
11,01/06/2015,23,26,5
12,22/03/2015,7,20,11
13,15/04/2015,23,46,2
14,11/10/2015,15,17,10
15,15/07/2015,4,5,10
16,23/04/2015,11,14,3
17,30/03/2015,17,1,2
18,16/12/2015,14,33,8
19,05/11/2015,26,19,5
20,04/09/2015,6,40,1
21,14/06/2015,23,34,13
22,19/09/2015,20,38,4
23,23/06/2015,20,2,11
24,20/12/2015,26,31,10
25,15/07/2015,17,5,3
26,26/12/2015,4,22,3
27,13/09/2015,2,31,2
28,28/04/2015,26,17,9
29,20/09/2015,18,8,4
30,25/11/2015,17,29,10
31,11/03/2015,19,42,2
32,26/04/2015,11,24,9
33,02/11/2015,17,45,2
34,10/07/2015,18,14,15
35,03/08/2015,17,27,15
36,19/12/2015,9,33,1
37,25/09/2015,7,49,10
38,26/02/2015,2,23,4
39,26/10/2015,25,27,9
40,11/03/2015,19,42,9
41,03/12/2015,7,31,1
42,29/01/2015,16,10,17
43,03/04/2015,17,21,5
44,22/02/2015,10,15,10
45,17/08/2015,9,11,4
46,24/01/2015,16,33,1
47,18/11/2015,1,23,10
48,01/05/2015,23,9,2
49,02/09/2015,9,18,17
50,11/02/2015,17,45,8
51,23/06/2015,15,1,7
52,08/07/2015,11,38,9
53,26/09/2015,5,24,1
54,06/08/2015,12,10,15
55,08/04/2015,2,34,4
56,06/07/2015,2,15,10
57,21/04/2015,23,42,5
58,06/12/2015,11,43,1
59,13/12/2015,23,34,10
60,15/11/2015,18,29,8
61,24/07/2015,15,41,1
62,21/06/2015,25,18,13
63,11/04/2015,9,49,2
64,07/06/2015,5,42,5
65,26/12/2015,2,34,16
66,05/05/2015,15,44,16
67,13/07/2015,3,4,10
68,21/11/2015,5,42,12
69,23/09/2015,1,21,12
70,07/02/2015,26,47,5
71,15/10/2015,17,11,17
72,18/03/2015,15,38,2
73,30/04/2015,17,44,2
74,07/12/2015,1,27,13
75,18/05/2015,26,24,11
76,18/04/2015,17,24,3
77,25/02/2015,26,20,4
78,23/02/2015,7,11,10
79,15/07/2015,2,26,8
80,26/05/2015,20,27,15
81,20/01/2015,23,37,11
82,03/12/2015,12,45,12
83,17/05/2015,17,41,13
84,21/11/2015,21,2,2
85,05/05/2015,6,42,1
86,22/09/2015,11,15,6
87,30/07/2015,20,9,4
88,27/10/2015,16,4,15
89,10/12/2015,10,22,3
90,06/09/2015,11,20,8
91,30/07/2015,21,17,13
92,24/12/2015,12,4,11
93,20/09/2015,3,9,10
94,24/02/2015,4,9,15
95,26/10/2015,19,48,5
96,23/10/2015,4,18,15
97,06/09/2015,4,5,12
98,30/10/2015,9,30,10
99,05/11/2015,12,23,1
100,31/08/2015,25,21,15
101,11/03/2015,16,43,3
102,08/07/2015,21,40,11
103,17/09/2015,22,11,16
104,31/03/2015,26,19,9
105,23/12/2015,23,42,2
106,18/01/2015,1,23,9
107,06/08/2015,5,11,10
108,06/06/2015,19,34,6
109,25/10/2015,13,24,3
110,10/08/2015,4,5,16
111,08/01/2015,5,21,12
112,21/02/2015,12,8,8
113,04/11/2015,4,2,14
114,02/06/2015,16,15,6
115,21/08/2015,5,10,13
116,19/10/2015,24,39,8
117,04/07/2015,25,29,15
118,17/09/2015,6,4,13
119,18/10/2015,2,31,5
120,17/11/2015,26,42,10
121,19/10/2015,21,23,10
122,06/06/2015,6,10,7
123,24/02/2015,22,46,11
124,19/02/2015,25,34,12
125,19/12/2015,19,39,9
126,12/11/2015,7,21,5
127,09/05/2015,17,8,4
128,26/12/2015,1,8,1
129,30/05/2015,19,41,9
130,07/08/2015,19,25,7
131,21/11/2015,19,26,14
132,01/07/2015,19,9,2
133,26/09/2015,26,13,17
134,30/10/2015,12,42,1
135,16/07/2015,5,20,10
136,24/09/2015,10,22,13
137,15/11/2015,4,24,9
138,30/09/2015,5,9,3
139,05/04/2015,20,1,11
140,08/10/2015,7,46,12
141,01/04/2015,24,38,14
142,27/08/2015,24,40,13
143,10/12/2015,26,38,4
144,29/01/2015,2,27,4
145,09/09/2015,24,39,17
146,06/11/2015,21,34,4
147,10/11/2015,12,18,7
148,03/09/2015,8,24,14
149,18/03/2015,18,25,1
150,25/10/2015,4,7,15
151,25/05/2015,26,26,14
152,23/07/2015,14,15,17
153,28/06/2015,25,14,16
154,06/08/2015,1,31,6
155,27/10/2015,2,46,15
156,27/03/2015,26,27,17
157,23/11/2015,9,24,5
158,18/02/2015,25,42,1
159,29/06/2015,18,16,10
160,24/06/2015,9,10,17
161,09/01/2015,17,16,12
162,13/06/2015,11,38,11
163,11/07/2015,6,48,17
164,10/01/2015,17,10,7
165,26/09/2015,25,22,17
166,19/02/2015,4,20,10
167,26/03/2015,2,48,3
168,23/12/2015,17,26,11
169,09/04/2015,21,20,17
170,12/06/2015,26,4,1
171,08/04/2015,12,11,8
172,21/11/2015,6,24,2
173,05/12/2015,25,27,7
174,21/02/2015,24,26,16
175,21/11/2015,2,23,13
176,27/08/2015,13,7,4
177,20/07/2015,4,8,3
178,23/07/2015,19,40,3
179,11/03/2015,23,22,9
180,26/04/2015,21,42,10
181,26/03/2015,11,34,13
182,16/12/2015,15,28,17
183,15/11/2015,11,42,6
184,22/08/2015,24,39,14
185,30/11/2015,16,40,1
186,10/09/2015,17,49,11
187,19/03/2015,25,29,10
188,27/07/2015,13,5,7
189,30/10/2015,7,11,2
190,11/03/2015,4,43,17
191,03/11/2015,6,29,11
192,20/08/2015,4,14,3
193,22/08/2015,21,24,10
194,30/04/2015,21,31,17
195,25/02/2015,17,23,11
196,16/04/2015,4,42,9
197,12/05/2015,18,29,16
198,16/03/2015,17,17,17
199,23/10/2015,20,31,8
200,31/03/2015,15,45,14
201,22/09/2015,1,46,5
202,15/10/2015,23,21,9
203,09/01/2015,11,3,3
204,19/10/2015,14,42,12
205,31/01/2015,22,22,2
206,01/09/2015,20,39,7
207,01/07/2015,17,44,4
208,23/02/2015,2,1,6
209,04/09/2015,19,49,5
210,25/01/2015,19,20,4
211,26/04/2015,5,30,11
212,20/12/2015,9,46,10
213,17/02/2015,13,17,5
214,22/09/2015,7,49,5
215,02/10/2015,20,1,4
216,21/10/2015,20,27,8
217,09/04/2015,13,38,4
218,25/05/2015,25,33,17
219,09/07/2015,5,4,9
220,05/11/2015,14,1,15
221,24/11/2015,18,6,13
222,23/11/2015,4,19,4
223,22/01/2015,13,29,7
224,03/10/2015,5,42,2
225,08/08/2015,5,3,6
226,03/05/2015,13,17,16
227,02/10/2015,23,24,4
228,16/09/2015,17,40,1
229,25/07/2015,23,49,10
230,31/05/2015,25,1,16
231,20/04/2015,5,18,14
232,01/09/2015,7,36,2
233,15/01/2015,6,1,1
234,11/07/2015,1,33,8
235,29/06/2015,23,33,5
236,26/11/2015,7,2,17
237,30/09/2015,6,6,10
238,14/05/2015,16,39,4
239,11/06/2015,19,42,4
240,14/11/2015,24,7,3
241,01/08/2015,16,40,8
242,27/01/2015,7,9,5
243,01/06/2015,15,39,5
244,14/04/2015,25,47,7
245,02/04/2015,26,39,7
246,04/05/2015,20,30,5
247,26/07/2015,16,33,4
248,01/09/2015,4,28,5
249,09/01/2015,13,18,2
250,03/08/2015,19,47,11
251,06/06/2015,21,24,7
252,03/03/2015,10,18,3
253,05/01/2015,23,23,6
254,05/10/2015,20,38,3
255,04/11/2015,9,14,9
256,09/01/2015,1,17,15
257,05/08/2015,20,18,1
258,29/09/2015,19,5,4
259,02/10/2015,4,24,11
260,09/02/2015,23,2,10
261,25/01/2015,20,5,4
262,03/11/2015,17,20,3
263,09/10/2015,2,33,17
264,04/04/2015,25,40,8
265,12/05/2015,19,15,14
266,04/08/2015,19,7,6
267,14/02/2015,17,2,17
268,12/01/2015,26,2,10
269,12/09/2015,12,20,13
270,13/02/2015,20,11,2
271,01/06/2015,5,27,6
272,06/12/2015,23,7,1
273,27/01/2015,20,38,14
274,30/05/2015,19,47,1
275,01/04/2015,6,43,2
276,16/04/2015,24,29,3
277,19/09/2015,11,30,10
278,11/09/2015,15,5,12
279,26/11/2015,24,1,1
280,11/09/2015,23,30,8
281,07/12/2015,12,27,12
282,27/03/2015,17,20,6
283,24/03/2015,2,39,2
284,06/02/2015,12,17,9
285,19/11/2015,25,33,8
286,20/12/2015,5,48,4
287,24/11/2015,15,1,5
288,01/08/2015,17,36,11
289,23/07/2015,13,18,14
290,12/12/2015,21,13,12
291,25/02/2015,21,40,16
292,08/10/2015,17,34,16
293,21/05/2015,4,24,12
294,11/03/2015,15,47,2
295,30/04/2015,2,20,14
296,04/01/2015,2,43,1
297,16/01/2015,22,1,11
298,18/01/2015,2,17,16
299,11/12/2015,13,9,3
300,30/05/2015,1,17,4
301,10/07/2015,5,19,11
302,06/06/2015,7,15,8
303,27/02/2015,18,26,12
304,25/05/2015,7,26,7
305,31/03/2015,5,33,10
306,26/01/2015,6,27,1
307,25/01/2015,23,35,17
308,07/06/2015,17,31,13
309,30/05/2015,20,21,14
310,30/04/2015,21,33,17
311,21/05/2015,20,31,5
312,27/04/2015,11,11,4
313,03/01/2015,7,48,1
314,10/07/2015,4,19,2
315,30/08/2015,15,44,15
316,12/07/2015,7,26,13
317,14/12/2015,12,18,14
318,13/05/2015,26,26,4
319,18/12/2015,16,33,10
320,23/05/2015,20,44,8
321,18/09/2015,11,34,8
322,16/07/2015,24,8,7
323,11/07/2015,20,36,10
324,25/04/2015,23,17,11
325,27/10/2015,10,43,17
326,06/11/2015,26,34,3
327,01/02/2015,11,40,14
328,13/10/2015,25,18,7
329,15/10/2015,2,7,10
330,26/02/2015,2,33,1
331,29/06/2015,19,46,8
332,01/09/2015,2,28,6
333,04/08/2015,24,7,13
334,19/06/2015,8,38,9
335,13/06/2015,15,39,8
336,26/03/2015,5,30,10
337,16/06/2015,1,46,15
338,18/03/2015,23,39,10
339,08/09/2015,9,47,13
340,03/08/2015,17,10,13
341,09/01/2015,19,6,5
342,13/06/2015,3,5,2
343,03/09/2015,21,24,16
344,05/11/2015,22,38,5
345,01/08/2015,24,42,4
346,30/09/2015,20,19,6
347,07/01/2015,1,33,15
348,15/10/2015,17,38,7
349,30/06/2015,13,11,2
350,02/06/2015,5,21,11
351,03/11/2015,19,18,12
352,23/05/2015,21,27,1
353,31/07/2015,15,32,3
354,26/03/2015,3,7,5
355,24/11/2015,26,20,9
356,23/10/2015,20,34,11
357,05/06/2015,5,14,10
358,03/11/2015,20,5,14
359,25/03/2015,5,31,3
360,28/04/2015,15,20,15
361,10/07/2015,21,11,3
362,26/04/2015,18,33,7
363,02/11/2015,20,1,4
364,23/10/2015,23,38,6
365,12/01/2015,10,2,14
366,09/01/2015,17,45,14
367,17/01/2015,25,38,14
368,19/04/2015,10,19,1
369,10/05/2015,6,38,2
370,14/02/2015,20,28,9
371,25/05/2015,21,11,11
372,24/12/2015,19,39,10
373,10/01/2015,7,31,8
374,28/11/2015,7,33,9
375,25/05/2015,16,46,1
376,01/07/2015,24,15,2
377,25/03/2015,7,7,13
378,19/05/2015,25,46,15
379,01/03/2015,20,34,4
380,19/08/2015,11,9,6
381,15/07/2015,17,10,8
382,21/04/2015,3,11,14
383,27/04/2015,2,36,11
384,25/05/2015,23,5,6
385,05/12/2015,1,9,13
386,03/12/2015,10,31,6
387,15/11/2015,21,41,15
388,22/09/2015,17,40,1
389,28/01/2015,2,33,10
390,06/11/2015,23,11,8
391,05/12/2015,11,42,12
392,21/04/2015,11,5,8
393,29/06/2015,15,25,3
394,11/01/2015,18,40,17
395,01/08/2015,11,7,10
396,23/04/2015,13,9,5
397,23/10/2015,25,27,7
398,10/08/2015,9,28,6
399,21/10/2015,23,12,10
400,14/05/2015,4,33,11
401,15/11/2015,25,42,3
402,17/04/2015,20,39,7
403,07/02/2015,21,2,10
404,29/04/2015,17,2,15
405,06/09/2015,4,6,9
406,26/03/2015,19,10,11
407,27/04/2015,7,38,12
408,23/05/2015,2,38,6
409,02/11/2015,12,18,4
410,21/01/2015,23,29,6
411,28/06/2015,1,34,8
412,02/03/2015,15,7,17
413,21/11/2015,2,18,13
414,20/10/2015,17,49,15
415,30/03/2015,13,39,5
416,19/02/2015,17,36,8
417,06/11/2015,26,46,3
418,31/08/2015,15,1,15
419,04/08/2015,23,3,9
420,04/12/2015,23,7,8
421,25/05/2015,24,13,14
422,19/03/2015,24,34,1
423,02/06/2015,17,2,7
424,26/04/2015,21,9,9
425,17/03/2015,20,43,9
426,18/01/2015,21,38,2
427,10/11/2015,17,40,6
428,27/12/2015,24,15,5
429,03/08/2015,17,17,14
430,30/04/2015,23,2,16
431,25/07/2015,2,22,1
432,13/02/2015,17,5,1
433,20/03/2015,11,36,6
434,28/04/2015,20,20,3
435,01/03/2015,1,40,1
436,01/09/2015,13,47,5
437,18/12/2015,13,42,1
438,03/08/2015,2,4,10
439,18/02/2015,1,11,10
440,30/07/2015,11,40,1
441,21/07/2015,10,36,17
442,27/07/2015,21,42,17
443,03/11/2015,16,8,14
444,03/01/2015,7,17,5
445,21/02/2015,14,42,1
446,17/05/2015,23,18,1
447,30/06/2015,15,47,11
448,01/04/2015,13,23,1
449,08/09/2015,15,7,7
450,15/08/2015,11,39,1
451,10/09/2015,25,46,4
452,14/09/2015,2,10,8
453,25/10/2015,4,24,7
454,08/12/2015,22,31,5
455,16/12/2015,7,4,1
456,30/10/2015,19,13,8
457,20/06/2015,1,46,15
458,22/03/2015,19,1,12
459,03/05/2015,24,29,4
460,19/02/2015,14,49,15
461,13/11/2015,20,7,12
462,19/12/2015,6,13,8
463,19/03/2015,2,48,10
464,22/02/2015,14,1,8
465,18/11/2015,17,21,2
466,24/12/2015,12,20,13
467,18/07/2015,13,43,6
468,24/06/2015,12,40,3
469,25/09/2015,25,19,15
470,15/10/2015,15,7,7
471,29/08/2015,17,41,17
472,18/12/2015,17,44,14
473,25/10/2015,2,9,9
474,03/11/2015,21,23,6
475,08/09/2015,10,25,3
476,26/01/2015,25,36,1
477,15/09/2015,3,7,5
478,18/02/2015,15,22,2
479,18/12/2015,19,3,16
480,03/04/2015,11,4,13
481,17/01/2015,25,34,11
482,24/02/2015,20,21,6
483,14/05/2015,7,11,5
484,22/09/2015,1,46,5
485,06/07/2015,18,41,8
486,07/09/2015,25,31,15
487,31/10/2015,18,11,8
488,30/03/2015,15,31,6
489,07/05/2015,23,41,6
490,23/07/2015,26,13,4
491,19/03/2015,19,39,6
492,23/05/2015,17,18,15
493,03/12/2015,12,46,17
494,26/12/2015,17,28,8
495,09/09/2015,3,42,17
496,10/12/2015,2,33,12
497,21/08/2015,23,35,2
498,24/03/2015,13,38,2
499,31/08/2015,13,25,15
500,03/09/2015,21,9,2
501,21/07/2015,23,11,12
502,30/04/2015,17,40,8
503,28/08/2015,20,33,16
504,01/06/2015,4,15,8
505,05/05/2015,18,10,8
506,18/12/2015,23,46,16
507,15/12/2015,17,5,17
508,23/09/2015,4,29,4
509,17/09/2015,17,34,5
510,14/11/2015,17,45,12
511,08/08/2015,3,17,16
512,18/08/2015,1,7,13
513,21/11/2015,9,11,1
514,21/10/2015,2,23,2
515,05/05/2015,7,31,16
516,31/01/2015,17,26,1
517,24/06/2015,2,2,1
518,29/09/2015,26,44,7
519,06/05/2015,20,13,7
520,11/11/2015,17,22,13
521,19/03/2015,25,24,7
522,26/03/2015,1,5,17
523,18/03/2015,1,38,2
524,30/10/2015,23,38,11
525,20/10/2015,2,40,11
526,28/06/2015,23,47,12
527,27/11/2015,7,29,7
528,24/11/2015,10,42,12
529,15/07/2015,11,48,11
530,14/02/2015,12,26,9
531,01/07/2015,17,39,8
532,09/07/2015,4,40,12
533,16/10/2015,25,9,13
534,03/05/2015,9,4,1
535,15/12/2015,20,4,3
536,09/09/2015,25,47,12
537,17/02/2015,7,1,1
538,19/03/2015,25,49,4
539,01/03/2015,24,8,9
540,30/09/2015,11,20,15
541,08/02/2015,10,9,11
542,28/12/2015,13,49,8
543,12/05/2015,20,19,8
544,10/09/2015,21,46,9
545,17/05/2015,26,46,3
546,18/03/2015,25,20,5
547,14/11/2015,20,36,9
548,16/04/2015,26,22,6
549,23/06/2015,9,45,6
550,31/01/2015,4,9,2
551,12/11/2015,11,11,9
552,15/11/2015,21,31,5
553,13/09/2015,23,19,13
554,03/08/2015,6,11,15
555,06/08/2015,24,33,5
556,27/11/2015,1,42,1
557,01/05/2015,20,3,12
558,17/03/2015,2,42,17
559,21/11/2015,15,47,2
560,29/04/2015,1,24,2
561,27/11/2015,13,15,13
562,05/12/2015,20,38,5
563,04/08/2015,21,39,13
564,25/09/2015,1,43,17
565,12/08/2015,15,9,13
566,18/08/2015,26,19,14
567,14/06/2015,21,44,12
568,31/05/2015,21,38,1
569,24/06/2015,2,24,10
570,21/12/2015,20,17,5
571,09/05/2015,1,40,14
572,20/04/2015,15,47,15
573,13/08/2015,2,23,5
574,10/08/2015,1,21,14
575,30/03/2015,11,15,16
576,17/09/2015,18,33,12
577,23/12/2015,5,36,10
578,12/03/2015,21,43,13
579,26/09/2015,16,2,1
580,26/03/2015,7,22,13
581,10/01/2015,2,24,9
582,08/05/2015,24,34,7
583,04/10/2015,3,33,16
584,25/05/2015,17,41,7
585,21/09/2015,7,34,13
586,01/02/2015,21,20,16
587,21/02/2015,25,29,4
588,11/07/2015,24,31,14
589,14/02/2015,2,4,14
590,27/07/2015,19,17,13
591,17/08/2015,11,10,13
592,02/06/2015,11,47,1
593,20/05/2015,10,19,1
594,12/01/2015,23,28,7
595,22/12/2015,3,23,15
596,30/05/2015,7,38,4
597,09/12/2015,11,14,2
598,20/08/2015,10,36,12
599,09/01/2015,24,19,11
600,01/03/2015,2,11,15
601,03/12/2015,5,3,9
602,30/10/2015,4,34,4
603,17/01/2015,2,10,5
604,20/12/2015,17,20,8
605,26/09/2015,4,26,13
606,04/06/2015,13,23,17
607,09/04/2015,15,24,6
608,10/11/2015,6,7,16
609,28/06/2015,7,7,6
610,04/10/2015,23,25,10
611,27/03/2015,4,48,2
612,24/03/2015,26,27,2
613,01/07/2015,8,42,4
614,25/10/2015,8,10,11
615,06/06/2015,6,25,11
616,14/06/2015,6,29,12
617,29/06/2015,23,15,2
618,25/05/2015,1,17,2
619,12/03/2015,20,27,13
620,12/12/2015,17,13,8
621,03/08/2015,1,21,7
622,23/08/2015,21,40,13
623,24/02/2015,10,48,16
624,30/04/2015,13,30,13
625,08/11/2015,10,29,7
626,03/01/2015,25,4,10
627,31/03/2015,26,33,9
628,27/01/2015,25,7,13
629,30/06/2015,23,36,16
630,18/06/2015,16,33,15
631,15/08/2015,21,7,7
632,07/06/2015,19,36,10
633,29/04/2015,23,47,8
634,28/06/2015,17,39,8
635,08/05/2015,11,9,1
636,05/10/2015,19,2,15
637,04/10/2015,11,26,10
638,13/11/2015,13,44,13
639,11/07/2015,15,39,7
640,15/03/2015,23,7,6
641,26/11/2015,15,18,15
642,01/01/2015,13,43,16
643,26/03/2015,26,40,10
644,22/12/2015,15,4,14
645,15/12/2015,20,21,5
646,25/05/2015,19,2,15
647,05/05/2015,25,5,6
648,14/12/2015,15,5,7
649,28/06/2015,9,32,17
650,26/04/2015,23,38,2
651,06/08/2015,12,24,8
652,17/11/2015,11,14,13
653,15/11/2015,11,41,13
654,19/02/2015,18,23,7
655,30/07/2015,17,19,10
656,14/01/2015,23,24,15
657,02/07/2015,23,48,12
658,24/07/2015,7,23,6
659,03/07/2015,5,9,10
660,27/08/2015,1,43,17
661,08/10/2015,25,46,15
662,22/11/2015,7,14,11
663,25/02/2015,1,9,13
664,30/07/2015,12,21,14
665,19/10/2015,8,48,4
666,30/10/2015,20,24,3
667,18/11/2015,18,34,4
668,15/01/2015,4,28,13
669,01/10/2015,7,39,2
670,19/12/2015,2,4,1
671,25/01/2015,14,27,1
672,20/09/2015,14,2,16
673,31/07/2015,10,13,2
674,01/04/2015,19,38,6
675,02/02/2015,25,40,5
676,17/08/2015,19,30,8
677,21/04/2015,14,30,11
678,18/09/2015,23,1,9
679,16/12/2015,5,8,15
680,26/09/2015,25,20,16
681,23/06/2015,14,42,4
682,14/10/2015,10,28,15
683,21/09/2015,7,9,15
684,30/05/2015,14,23,1
685,16/12/2015,6,11,7
686,19/06/2015,2,40,10
687,19/12/2015,4,40,1
688,10/07/2015,21,22,11
689,12/10/2015,7,11,11
690,21/07/2015,23,43,12
691,21/05/2015,17,32,16
692,04/06/2015,23,17,3
693,11/01/2015,26,21,11
694,01/05/2015,11,8,7
695,02/09/2015,23,47,12
696,12/11/2015,15,11,17
697,02/10/2015,21,29,6
698,21/11/2015,26,28,15
699,13/10/2015,21,24,16
700,27/08/2015,7,42,17
701,20/07/2015,19,36,16
702,15/06/2015,19,41,10
703,14/01/2015,7,19,15
704,16/04/2015,19,8,9
705,29/01/2015,4,18,8
706,06/12/2015,16,38,4
