order_index,order_date,product_index,customer_index,order_units
3530,01/01/2020,11,35,13
4167,01/01/2020,26,20,13
4300,01/01/2020,10,5,17
5452,01/01/2020,23,31,6
5963,01/01/2020,21,48,4
6509,01/01/2020,19,5,14
6859,01/01/2020,9,28,14
7381,01/01/2020,9,7,17
9135,01/01/2020,20,32,12
11353,01/01/2020,9,31,6
11789,01/01/2020,23,44,3
12617,01/01/2020,16,39,8
15703,01/01/2020,12,46,13
16322,01/01/2020,23,23,8
16908,01/01/2020,9,25,9
18905,01/01/2020,15,40,10
19071,01/01/2020,22,10,7
19420,01/01/2020,14,37,14
19917,01/01/2020,4,23,8
20363,01/01/2020,26,9,17
20386,01/01/2020,19,5,4
10978,02/01/2020,4,12,1
14413,02/01/2020,21,4,10
17376,02/01/2020,3,48,7
20202,02/01/2020,3,16,16
22723,02/01/2020,26,31,15
23348,02/01/2020,25,7,5
552,03/01/2020,7,4,2
999,03/01/2020,3,21,14
2121,03/01/2020,23,8,14
3401,03/01/2020,5,16,13
3573,03/01/2020,12,43,3
4099,03/01/2020,20,9,7
5544,03/01/2020,5,31,13
5591,03/01/2020,19,36,12
11228,03/01/2020,16,22,2
11262,03/01/2020,3,18,8
11640,03/01/2020,8,23,8
12788,03/01/2020,4,43,7
13088,03/01/2020,26,36,2
14224,03/01/2020,23,32,3
14326,03/01/2020,14,8,17
14342,03/01/2020,9,30,2
14442,03/01/2020,13,12,10
15830,03/01/2020,8,31,17
16152,03/01/2020,15,14,7
22330,03/01/2020,21,2,15
110,04/01/2020,8,32,1
261,04/01/2020,15,36,14
407,04/01/2020,24,14,14
636,04/01/2020,12,22,5
807,04/01/2020,23,34,9
827,04/01/2020,7,43,12
1167,04/01/2020,16,8,14
1197,04/01/2020,7,39,12
1253,04/01/2020,10,20,10
1301,04/01/2020,23,16,6
1561,04/01/2020,25,46,13
1644,04/01/2020,4,2,7
1962,04/01/2020,3,26,15
2348,04/01/2020,22,35,11
2385,04/01/2020,26,34,16
2452,04/01/2020,26,14,17
2777,04/01/2020,7,14,5
2843,04/01/2020,16,41,17
3159,04/01/2020,19,27,5
3958,04/01/2020,7,12,1
4042,04/01/2020,7,45,8
4333,04/01/2020,4,27,5
4334,04/01/2020,8,39,2
4714,04/01/2020,8,7,6
4777,04/01/2020,15,29,17
5087,04/01/2020,9,18,11
5388,04/01/2020,26,21,15
5790,04/01/2020,12,35,14
5810,04/01/2020,21,45,13
6010,04/01/2020,22,35,15
6230,04/01/2020,2,28,9
6325,04/01/2020,3,7,16
6636,04/01/2020,9,7,1
6978,04/01/2020,9,35,10
7037,04/01/2020,16,8,4
7094,04/01/2020,6,35,17
7097,04/01/2020,15,4,14
7297,04/01/2020,19,4,15
7526,04/01/2020,23,23,7
7588,04/01/2020,23,43,16
7625,04/01/2020,9,40,9
7917,04/01/2020,25,29,13
8283,04/01/2020,21,22,14
8336,04/01/2020,5,46,8
8532,04/01/2020,23,43,12
8629,04/01/2020,14,23,15
8667,04/01/2020,16,23,14
8729,04/01/2020,15,34,16
9157,04/01/2020,16,5,2
9173,04/01/2020,9,36,17
9751,04/01/2020,3,15,1
9977,04/01/2020,9,36,16
10124,04/01/2020,14,9,2
10366,04/01/2020,11,32,5
10608,04/01/2020,6,38,7
10923,04/01/2020,20,39,13
11242,04/01/2020,22,25,10
11406,04/01/2020,21,40,4
11408,04/01/2020,9,12,1
11909,04/01/2020,9,7,17
12067,04/01/2020,26,20,7
12567,04/01/2020,24,19,1
12807,04/01/2020,25,40,16
13084,04/01/2020,20,37,9
13203,04/01/2020,8,12,8
13463,04/01/2020,15,5,12
13491,04/01/2020,20,48,17
14073,04/01/2020,23,37,17
14172,04/01/2020,6,20,10
14207,04/01/2020,23,48,17
14868,04/01/2020,25,14,6
15365,04/01/2020,8,39,9
16029,04/01/2020,7,23,14
16259,04/01/2020,22,19,16
16459,04/01/2020,17,32,11
16720,04/01/2020,3,30,10
17095,04/01/2020,16,27,17
17200,04/01/2020,6,32,15
17500,04/01/2020,8,5,6
17688,04/01/2020,15,19,8
17798,04/01/2020,9,14,3
18000,04/01/2020,19,16,6
18681,04/01/2020,6,37,17
18873,04/01/2020,21,18,14
19240,04/01/2020,13,27,1
19433,04/01/2020,25,20,4
19622,04/01/2020,26,5,12
19670,04/01/2020,6,7,12
19959,04/01/2020,21,32,6
21034,04/01/2020,20,8,1
21578,04/01/2020,3,35,1
21882,04/01/2020,10,16,1
22006,04/01/2020,7,45,12
22427,04/01/2020,17,23,13
22620,04/01/2020,16,35,4
22637,04/01/2020,6,17,3
22922,04/01/2020,6,9,7
23420,04/01/2020,7,32,2
23577,04/01/2020,7,5,16
23855,04/01/2020,7,5,9
23921,04/01/2020,6,35,5
24154,04/01/2020,20,36,3
24529,04/01/2020,3,22,15
785,05/01/2020,6,14,14
972,05/01/2020,22,36,5
1230,05/01/2020,21,27,10
1335,05/01/2020,22,36,7
1366,05/01/2020,21,9,2
1472,05/01/2020,8,36,13
1613,05/01/2020,7,7,2
1654,05/01/2020,3,14,10
2027,05/01/2020,16,44,3
2269,05/01/2020,22,39,2
2606,05/01/2020,9,21,8
2735,05/01/2020,16,21,14
2789,05/01/2020,10,10,5
2839,05/01/2020,23,10,6
2929,05/01/2020,20,20,14
3039,05/01/2020,20,19,4
3408,05/01/2020,21,8,12
3439,05/01/2020,23,16,16
3704,05/01/2020,10,43,2
3842,05/01/2020,12,21,2
3948,05/01/2020,7,39,16
4073,05/01/2020,22,37,14
4601,05/01/2020,17,17,4
4912,05/01/2020,23,38,12
5012,05/01/2020,5,31,12
5188,05/01/2020,16,45,7
5252,05/01/2020,21,22,7
5369,05/01/2020,11,27,9
5637,05/01/2020,9,16,17
5859,05/01/2020,18,21,8
5875,05/01/2020,17,11,17
6046,05/01/2020,7,14,15
6465,05/01/2020,24,4,3
6855,05/01/2020,20,14,3
7482,05/01/2020,18,31,17
7844,05/01/2020,21,37,15
7956,05/01/2020,6,38,14
8317,05/01/2020,3,40,12
8330,05/01/2020,5,39,15
9190,05/01/2020,7,1,15
9796,05/01/2020,9,44,9
9837,05/01/2020,6,13,12
9841,05/01/2020,21,27,7
9882,05/01/2020,13,40,1
9974,05/01/2020,24,31,17
10025,05/01/2020,3,40,5
10155,05/01/2020,8,26,10
10264,05/01/2020,3,43,8
10337,05/01/2020,17,26,15
10414,05/01/2020,22,49,9
10844,05/01/2020,23,32,16
11199,05/01/2020,26,40,3
11220,05/01/2020,6,7,15
11502,05/01/2020,8,21,2
11546,05/01/2020,23,13,2
11613,05/01/2020,10,18,2
12215,05/01/2020,3,10,4
12247,05/01/2020,19,48,12
12341,05/01/2020,21,13,6
12601,05/01/2020,8,31,12
12845,05/01/2020,8,5,6
13135,05/01/2020,25,10,15
13213,05/01/2020,7,18,9
13292,05/01/2020,11,23,15
13482,05/01/2020,10,43,4
13510,05/01/2020,5,8,15
14162,05/01/2020,3,32,3
15397,05/01/2020,10,41,17
15589,05/01/2020,4,14,8
15668,05/01/2020,3,8,16
15870,05/01/2020,16,45,11
15899,05/01/2020,10,18,9
16190,05/01/2020,12,5,2
16253,05/01/2020,22,8,17
16589,05/01/2020,18,45,4
16862,05/01/2020,17,21,3
17216,05/01/2020,9,21,1
17726,05/01/2020,2,4,5
