order_index,order_date,product_index,customer_index,order_units
204,01/01/2017,20,44,12
253,01/01/2017,1,19,1
755,01/01/2017,24,26,5
774,01/01/2017,5,2,11
1018,01/01/2017,2,31,2
1296,01/01/2017,8,9,6
1338,01/01/2017,20,27,5
1364,01/01/2017,19,44,4
2122,01/01/2017,21,12,9
2141,01/01/2017,6,48,2
2701,01/01/2017,8,44,17
4096,01/01/2017,5,42,16
4150,01/01/2017,14,48,10
4159,01/01/2017,13,9,9
4471,01/01/2017,24,26,6
4520,01/01/2017,25,13,6
5507,01/01/2017,17,16,7
5967,01/01/2017,24,27,3
6457,01/01/2017,10,3,6
7006,01/01/2017,2,3,17
7138,01/01/2017,2,27,2
7172,01/01/2017,9,12,4
7211,01/01/2017,15,39,14
7686,01/01/2017,8,30,1
7777,01/01/2017,2,37,1
7991,01/01/2017,12,27,17
8109,01/01/2017,9,12,13
8299,01/01/2017,20,15,3
8482,01/01/2017,14,34,15
8629,01/01/2017,15,3,3
8730,01/01/2017,25,47,7
9397,01/01/2017,3,14,17
10472,01/01/2017,25,32,11
11286,01/01/2017,25,18,14
11645,01/01/2017,5,17,14
11690,01/01/2017,6,45,1
12407,01/01/2017,10,24,8
12802,01/01/2017,7,28,10
12839,01/01/2017,5,6,3
13573,01/01/2017,19,42,15
13579,01/01/2017,13,11,7
14353,01/01/2017,15,16,14
15100,01/01/2017,25,40,17
15905,01/01/2017,7,46,14
16183,01/01/2017,22,36,3
16223,01/01/2017,20,28,8
16255,01/01/2017,19,28,2
17567,01/01/2017,1,34,10
17679,01/01/2017,2,11,1
18347,01/01/2017,19,19,9
18405,01/01/2017,24,48,6
18444,01/01/2017,15,11,7
18707,01/01/2017,20,40,17
18977,01/01/2017,15,28,6
19308,01/01/2017,14,43,1
19415,01/01/2017,2,44,17
19573,01/01/2017,8,22,11
19901,01/01/2017,12,27,5
20088,01/01/2017,12,20,12
20246,01/01/2017,20,22,9
20387,01/01/2017,8,35,13
20539,01/01/2017,26,13,8
20623,01/01/2017,23,10,7
20917,01/01/2017,18,41,11
20979,01/01/2017,20,39,9
21619,01/01/2017,20,39,15
21625,01/01/2017,1,14,12
21674,01/01/2017,23,40,3
21698,01/01/2017,24,37,13
679,02/01/2017,9,28,13
777,02/01/2017,8,49,17
1291,02/01/2017,14,41,9
1298,02/01/2017,8,42,8
1572,02/01/2017,6,39,7
1586,02/01/2017,14,27,15
1877,02/01/2017,4,32,4
1937,02/01/2017,14,13,17
2786,02/01/2017,1,25,12
2922,02/01/2017,2,11,11
2950,02/01/2017,2,48,9
2997,02/01/2017,14,39,1
3283,02/01/2017,25,3,16
3819,02/01/2017,4,42,7
